time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum
1.62667E+18,-0.003857,-0.22232,-0.005672,0,0,0
1.62667E+18,-0.000995,-0.080076,-0.0122,-3.85695E-05,-0.002223172,-5.67193E-05
1.62667E+18,-0.013701,0.055152,-0.018204,-4.85196E-05,-0.003023942,-0.000178721
1.62667E+18,-0.005707,0.102887,-0.021904,-0.000185528,-0.002472429,-0.000360759
1.62667E+18,0.012898,0.099309,-0.027471,-0.000242599,-0.001443546,-0.000579801
1.62667E+18,0.030945,0.097145,-0.026145,-0.00011362,-0.000450468,-0.000854508
1.62667E+18,0.036024,0.091316,-0.025063,0.000195834,0.000520994,-0.001115961
1.62667E+18,0.035867,0.074229,-0.020577,0.000556429,0.001435054,-0.001366838
1.62667E+18,0.018692,0.048922,-0.011886,0.000914745,0.002176612,-0.001572405
1.62667E+18,0.005463,0.003089,-0.001937,0.001101663,0.002665826,-0.001691264
1.62667E+18,0.002775,-0.058957,-0.002601,0.001156294,0.002696717,-0.001710634
1.62667E+18,0.016808,-0.11109,-0.009093,0.001184043,0.002107154,-0.001736644
1.62667E+18,0.030892,-0.120672,-0.008535,0.001352125,0.00099624,-0.001827575
1.62667E+18,0.023946,-0.097372,-0.01124,0.001661041,-0.000210465,-0.001912924
1.62667E+18,0.009844,-0.056514,-0.011659,0.001900504,-0.001184197,-0.002025325
1.62667E+18,0.000384,-0.026424,-0.012479,0.001998943,-0.00174933,-0.002141914
1.62667E+18,0.001204,-0.005707,-0.020577,0.002002783,-0.002013573,-0.002266705
1.62667E+18,0.007871,0.01117,-0.022218,0.002014823,-0.002070643,-0.002472473
1.62667E+18,0.014102,0.029653,-0.014783,0.002093534,-0.001958941,-0.002694656
1.62667E+18,0.014818,0.069272,-0.005864,0.002234552,-0.001662415,-0.002842484
1.62667E+18,0.009721,0.105854,-0.002862,0.002382734,-0.000969686,-0.002901124
1.62667E+18,0.003892,0.085277,0.007191,0.002479943,8.88404E-05,-0.002929744
1.62667E+18,0.013491,0.032306,0.012846,0.002518902,0.000942473,-0.002857761
1.62667E+18,0.024051,-0.016738,0.009564,0.002653676,0.001265206,-0.002729431
1.62667E+18,0.024836,-0.033772,0.006754,0.002894189,0.001097824,-0.00263379
1.62667E+18,0.018343,-0.018745,0.0085,0.003142546,0.000760108,-0.002566251
1.62667E+18,0.00658,0.013055,0.011903,0.003325978,0.000572656,-0.00248125
1.62667E+18,-0.005637,0.037385,0.014277,0.003391843,0.000703335,-0.002362102
1.62667E+18,-0.018151,0.05147,0.014818,0.003335529,0.001076816,-0.002219473
1.62667E+18,-0.023318,0.047054,0.015132,0.003154021,0.001591509,-0.002071295
1.62667E+18,-0.032673,0.023422,0.018117,0.002920838,0.002062055,-0.001919973
1.62667E+18,-0.041661,0.008203,0.025185,0.002594112,0.002296272,-0.001738805
1.62667E+18,-0.045448,-0.005201,0.029531,0.002177497,0.002378304,-0.001486952
1.62667E+18,-0.02892,-0.013806,0.029583,0.001723023,0.002326294,-0.001191646
1.62667E+18,-0.001396,-0.023387,0.016179,0.001433819,0.002188232,-0.000895812
1.62667E+18,0.032341,-0.022288,0.005515,0.001419859,0.001954365,-0.000734024
1.62667E+18,0.056968,-0.007767,-0.002513,0.001743273,0.001731483,-0.000678874
1.62667E+18,0.073147,0.007261,-0.012113,0.002313515,0.001653736,-0.000704028
1.62667E+18,0.09156,0.006248,-0.020263,0.003044264,0.001726274,-0.000825039
1.62667E+18,0.11006,-0.004573,-0.022515,0.003959852,0.001788754,-0.001027666
1.62667E+18,0.12034,-0.009844,-0.018256,0.005060466,0.001743023,-0.001252819
1.62667E+18,0.119381,-0.010559,-0.012741,0.006263851,0.001644584,-0.001435377
1.62667E+18,0.107163,-0.00089,-0.002286,0.007457676,0.001538993,-0.001562789
1.62667E+18,0.095086,0.007365,0.003962,0.008529292,0.001530093,-0.001585648
1.62667E+18,0.07552,0.012287,0.008884,0.009480164,0.001603744,-0.001546028
1.62667E+18,0.062553,0.006091,0.019687,0.010235355,0.001726612,-0.001457189
1.62667E+18,0.062378,-0.015621,0.02042,0.010860893,0.001787523,-0.001260316
1.62667E+18,0.074229,-0.030875,0.021502,0.011484665,0.001631315,-0.001056119
1.62667E+18,0.087284,-0.032934,0.022166,0.012226964,0.001322561,-0.000841096
1.62667E+18,0.091857,-0.005219,0.02063,0.013099793,0.000993226,-0.000619439
1.62667E+18,0.085573,0.032446,0.023422,0.014019292,0.000940983,-0.00041293
1.62667E+18,0.076812,0.060685,0.028519,0.014874157,0.001265115,-0.000178947
1.62667E+18,0.066654,0.066462,0.024051,0.015642286,0.001871972,0.000106246
1.62667E+18,0.066864,0.068836,0.019844,0.016308818,0.002536584,0.000346753
1.62667E+18,0.072274,0.060982,0.01768,0.016977466,0.003224953,0.000545196
1.62667E+18,0.088174,0.056008,0.025499,0.017700197,0.003834765,0.000721994
1.62667E+18,0.114302,0.041731,0.026302,0.018581949,0.004394852,0.000976987
1.62667E+18,0.146084,0.024155,0.02625,0.019724954,0.004812157,0.001240003
1.62667E+18,0.16729,0.001798,0.022724,0.021185813,0.00505371,0.001502507
1.62667E+18,0.180607,-0.002199,0.019967,0.022858691,0.00507169,0.001729744
1.62667E+18,0.182893,0.001484,0.015481,0.024664784,0.005049699,0.001929416
1.62667E+18,0.184621,0.000506,0.011572,0.026493691,0.005064539,0.002084224
1.62667E+18,0.190258,-0.004451,0.004276,0.028339925,0.005069599,0.002199946
1.62667E+18,0.188112,-0.010315,0.000279,0.03024248,0.00502509,0.002242705
1.62667E+18,0.186803,-0.007435,-0.003491,0.032123624,0.004921938,0.002245495
1.62667E+18,0.191306,-0.006528,-0.007871,0.03399163,0.004847589,0.002210586
1.62667E+18,0.182509,0.000716,-0.010088,0.035904715,0.004782309,0.002131875
1.62667E+18,0.172421,0.006423,-0.005009,0.037729781,0.004789468,0.002030996
1.62667E+18,0.169995,0.018972,-0.004503,0.039454014,0.004853699,0.001980906
1.62667E+18,0.172386,0.028641,-0.003072,0.041153942,0.005043417,0.001935876
1.62667E+18,0.179699,0.023597,-0.000908,0.042877824,0.005329831,0.001905156
1.62667E+18,0.196734,-0.007103,-0.00377,0.044674791,0.005565798,0.001896076
1.62667E+18,0.210225,-0.039218,-0.011519,0.046642156,0.005494767,0.001858375
1.62667E+18,0.223838,-0.056147,-0.012915,0.048744379,0.005102592,0.001743187
1.62667E+18,0.227905,-0.051679,-0.008325,0.050982788,0.004541114,0.001614035
1.62667E+18,0.22794,-0.031608,-0.007034,0.053261809,0.004024331,0.001530786
1.62667E+18,0.225392,-0.01124,0.000576,0.055541238,0.003708247,0.001460445
1.62667E+18,0.215513,-0.000052,0.005969,0.057795129,0.003595848,0.001466205
1.62667E+18,0.204256,0.003142,0.013771,0.059950287,0.003595328,0.001525896
1.62667E+18,0.198601,-0.002461,0.0244,0.06199282,0.003626748,0.001663604
1.62667E+18,0.199334,-0.007871,0.026162,0.063978856,0.003602138,0.001907607
1.62667E+18,0.205425,-0.015027,0.025621,0.06597217,0.003523429,0.002169224
1.62667E+18,0.209614,-0.014294,0.02042,0.068026447,0.003373157,0.002425437
1.62667E+18,0.214326,-0.025639,0.022986,0.07012256,0.003230219,0.002629635
1.62667E+18,0.225392,-0.036041,0.017453,0.072265847,0.002973825,0.002859498
1.62667E+18,0.232583,-0.041294,0.01412,0.074519738,0.00261342,0.003034025
1.62667E+18,0.231867,-0.018535,0.013998,0.076845598,0.002200475,0.003175227
1.62667E+18,0.225008,0.017157,0.012322,0.079164238,0.002015127,0.003315205
1.62667E+18,0.214361,0.047909,0.00925,0.081414347,0.002186699,0.003438427
1.62667E+18,0.207048,0.05969,0.003054,0.08355793,0.002665783,0.003530926
1.62667E+18,0.193156,0.042569,0.004067,0.085628436,0.003262691,0.003561466
1.62667E+18,0.186279,0.008395,-0.001187,0.087559972,0.003688375,0.003602136
1.62667E+18,0.185895,-0.022288,-0.005498,0.089422785,0.003772326,0.003590266
1.62667E+18,0.185441,-0.03536,-0.005515,0.091281712,0.003549449,0.003535286
1.62667E+18,0.186052,-0.018291,-0.01206,0.093136145,0.003195845,0.003480136
1.62667E+18,0.186471,0.00555,-0.017418,0.094996642,0.003012937,0.003359537
1.62667E+18,0.197781,0.013928,-0.017523,0.096861375,0.003068438,0.003185355
1.62667E+18,0.207781,0.010961,-0.014504,0.09883916,0.003207716,0.003010127
1.62667E+18,0.206664,0.000209,-0.00562,0.100916997,0.003317327,0.002865085
1.62667E+18,0.201324,-0.009861,-0.001606,0.10298361,0.003319417,0.002808886
1.62667E+18,0.20567,-0.020892,0.004835,0.104996876,0.003220806,0.002792826
1.62667E+18,0.207781,-0.02337,0.016825,0.10705355,0.003011889,0.002841175
1.62667E+18,0.203872,-0.007819,0.026267,0.109131386,0.002778186,0.003009427
1.62667E+18,0.206211,0.000087,0.037315,0.11117008,0.002699997,0.003272094
1.62667E+18,0.220714,-0.014975,0.040753,0.113232217,0.002700867,0.003645249
1.62667E+18,0.243264,-0.036076,0.045169,0.115439328,0.002551119,0.004052773
1.62667E+18,0.259461,-0.049253,0.050108,0.117871999,0.002190354,0.004504469
1.62667E+18,0.266215,-0.042638,0.055309,0.120466576,0.00169783,0.005005543
1.62667E+18,0.26536,-0.046914,0.059306,0.12312876,0.001271445,0.00555864
1.62667E+18,0.264278,-0.047438,0.06353,0.125782326,0.000802311,0.006151692
1.62667E+18,0.25768,-0.035378,0.061366,0.12842514,0.000327925,0.006787
1.62667E+18,0.245271,-0.015167,0.06161,0.131001907,-2.58506E-05,0.007400653
1.62667E+18,0.231326,-0.000768,0.064752,0.133454649,-0.000177523,0.00801676
1.62667E+18,0.22801,0.013945,0.061383,0.135767879,-0.000185202,0.008664272
1.62667E+18,0.224955,0.023928,0.06257,0.138048008,-4.57507E-05,0.00927811
1.62667E+18,0.219109,0.025779,0.062326,0.140297529,0.000193526,0.009903802
1.62667E+18,0.226195,0.014085,0.055519,0.142488647,0.00045132,0.01052707
1.62667E+18,0.237539,-0.001676,0.046635,0.144750568,0.000592168,0.011082253
1.62667E+18,0.251711,-0.007871,0.039479,0.147125989,0.000575408,0.011548609
1.62667E+18,0.261956,-0.014765,0.0366,0.149643067,0.000496699,0.011943394
1.62667E+18,0.271626,-0.024155,0.030631,0.15226266,0.000349047,0.012309399
1.62667E+18,0.275745,-0.017052,0.028239,0.154978885,0.0001075,0.012615705
1.62667E+18,0.27646,0.000436,0.027122,0.157736371,-6.30224E-05,0.012898098
1.62667E+18,0.270002,0.001274,0.024679,0.160500935,-5.86625E-05,0.013169315
