stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
630,1.62667E+18,-0.111633,0.043065,0.048544,-0.111633,0.043065,0.048544,-0.103699,0.063188,0.017108
631,1.62667E+18,-0.101453,0.042904,0.051511,-0.101453,0.042904,0.051511,-0.103732,0.062989,0.017581
632,1.62667E+18,-0.0936,0.050724,0.053269,-0.0936,0.050724,0.053269,-0.103815,0.062759,0.018034
633,1.62667E+18,-0.085269,0.05854,0.052005,-0.085269,0.05854,0.052005,-0.103914,0.062506,0.018458
634,1.62667E+18,-0.083661,0.060102,0.049299,-0.083661,0.060102,0.049299,-0.104022,0.062235,0.018852
635,1.62667E+18,-0.083735,0.054446,0.044558,-0.083735,0.054446,0.044558,-0.104203,0.061922,0.019223
636,1.62667E+18,-0.086895,0.048607,0.037619,-0.086895,0.048607,0.037619,-0.104425,0.061578,0.019564
637,1.62667E+18,-0.091778,0.041739,0.030603,-0.091778,0.041739,0.030603,-0.104675,0.061212,0.019878
638,1.62667E+18,-0.097935,0.032975,0.024161,-0.097935,0.032975,0.024161,-0.10494,0.060797,0.020187
639,1.62667E+18,-0.105853,0.025168,0.017149,-0.105853,0.025168,0.017149,-0.105184,0.060349,0.020485
640,1.62667E+18,-0.112785,0.017412,0.01162,-0.112785,0.017412,0.01162,-0.105393,0.059878,0.020773
641,1.62667E+18,-0.121881,0.012263,0.010427,-0.121881,0.012263,0.010427,-0.105527,0.059369,0.021085
642,1.62667E+18,-0.128618,0.009061,0.013333,-0.128618,0.009061,0.013333,-0.105554,0.058838,0.02141
643,1.62667E+18,-0.128279,0.008499,0.017671,-0.128279,0.008499,0.017671,-0.105475,0.058298,0.021746
644,1.62667E+18,-0.12308,0.009904,0.021912,-0.12308,0.009904,0.021912,-0.10525,0.057725,0.022117
645,1.62667E+18,-0.113952,0.007228,0.026918,-0.113952,0.007228,0.026918,-0.104872,0.05714,0.022512
646,1.62667E+18,-0.09991,0.002508,0.033144,-0.09991,0.002508,0.033144,-0.104361,0.056554,0.022923
647,1.62667E+18,-0.08243,-0.004291,0.039185,-0.08243,-0.004291,0.039185,-0.103678,0.05594,0.023364
