stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
16,1.62667E+18,-0.026072,0.027543,-0.002751,-0.026072,0.027543,-0.002751,-0.021804,0.004901,0.003171
17,1.62667E+18,-0.03142,0.020476,-0.000797,-0.03142,0.020476,-0.000797,-0.02135,0.004442,0.003317
18,1.62667E+18,-0.043635,-0.003862,0.006603,-0.043635,-0.003862,0.006603,-0.020848,0.00398,0.00346
19,1.62667E+18,-0.059092,-0.017649,0.017146,-0.059092,-0.017649,0.017146,-0.020295,0.00352,0.003597
20,1.62667E+18,-0.06156,-0.02514,0.02898,-0.06156,-0.02514,0.02898,-0.019596,0.003061,0.003709
21,1.62667E+18,-0.057885,-0.034594,0.032762,-0.057885,-0.034594,0.032762,-0.018744,0.002611,0.003795
22,1.62667E+18,-0.046761,-0.045209,0.027271,-0.046761,-0.045209,0.027271,-0.017756,0.002172,0.003856
23,1.62667E+18,-0.023372,-0.049973,0.015397,-0.023372,-0.049973,0.015397,-0.016663,0.001717,0.003836
24,1.62667E+18,0.004669,-0.041684,0.004605,0.004669,-0.041684,0.004605,-0.015485,0.001249,0.003737
25,1.62667E+18,0.032108,-0.038988,-0.001582,0.032108,-0.038988,-0.001582,-0.014255,0.000775,0.003569
26,1.62667E+18,0.053756,-0.027924,-0.002958,0.053756,-0.027924,-0.002958,-0.012959,0.000276,0.003295
27,1.62667E+18,0.068466,-0.026233,-0.006213,0.068466,-0.026233,-0.006213,-0.011625,-0.00024,0.00292
28,1.62667E+18,0.073201,-0.026324,-0.007734,0.073201,-0.026324,-0.007734,-0.010284,-0.000765,0.002462
29,1.62667E+18,0.06833,-0.011869,-0.011747,0.06833,-0.011869,-0.011747,-0.008874,-0.001315,0.001907
30,1.62667E+18,0.054574,-0.01938,-0.033641,0.054574,-0.01938,-0.033641,-0.007418,-0.001874,0.001266
31,1.62667E+18,0.033301,-0.052572,-0.064883,0.033301,-0.052572,-0.064883,-0.005935,-0.002433,0.000561
32,1.62667E+18,0.007153,-0.078333,-0.08359,0.007153,-0.078333,-0.08359,-0.004353,-0.00304,-0.0002
33,1.62667E+18,0.006374,-0.076128,-0.092453,0.006374,-0.076128,-0.092453,-0.0027,-0.003673,-0.001
34,1.62667E+18,0.019522,-0.070435,-0.092183,0.019522,-0.070435,-0.092183,-0.001003,-0.004321,-0.001822
35,1.62667E+18,0.03867,-0.059732,-0.083974,0.03867,-0.059732,-0.083974,0.000835,-0.005053,-0.00264
36,1.62667E+18,0.058337,-0.034001,-0.07876,0.058337,-0.034001,-0.07876,0.002761,-0.005845,-0.003438
37,1.62667E+18,0.065362,-0.028316,-0.074794,0.065362,-0.028316,-0.074794,0.004732,-0.006681,-0.004208
38,1.62667E+18,0.064911,-0.042909,-0.068631,0.064911,-0.042909,-0.068631,0.006834,-0.007595,-0.004973
39,1.62667E+18,0.06506,-0.053161,-0.065422,0.06506,-0.053161,-0.065422,0.008975,-0.008553,-0.005714
40,1.62667E+18,0.067932,-0.071336,-0.064408,0.067932,-0.071336,-0.064408,0.011104,-0.009533,-0.006427
41,1.62667E+18,0.071809,-0.091578,-0.051297,0.071809,-0.091578,-0.051297,0.01325,-0.010529,-0.007161
42,1.62667E+18,0.073216,-0.116337,-0.019346,0.073216,-0.116337,-0.019346,0.015286,-0.011497,-0.007894
43,1.62667E+18,0.077471,-0.145577,0.005122,0.077471,-0.145577,0.005122,0.017165,-0.012419,-0.008625
44,1.62667E+18,0.088997,-0.149706,0.001036,0.088997,-0.149706,0.001036,0.018837,-0.013346,-0.009405
45,1.62667E+18,0.095159,-0.129738,-0.014384,0.095159,-0.129738,-0.014384,0.020167,-0.014236,-0.010208
46,1.62667E+18,0.08371,-0.11362,-0.027286,0.08371,-0.11362,-0.027286,0.021141,-0.015077,-0.011025
47,1.62667E+18,0.067797,-0.100901,-0.033714,0.067797,-0.100901,-0.033714,0.021755,-0.015978,-0.011881
48,1.62667E+18,0.049594,-0.064703,-0.048273,0.049594,-0.064703,-0.048273,0.021915,-0.016902,-0.012741
49,1.62667E+18,0.023649,-0.032409,-0.057689,0.023649,-0.032409,-0.057689,0.021647,-0.017835,-0.013596
50,1.62667E+18,0.000809,0.000463,-0.060804,0.000809,0.000463,-0.060804,0.02118,-0.018858,-0.014481
51,1.62667E+18,-0.024573,0.012883,-0.060614,-0.024573,0.012883,-0.060614,0.020476,-0.019932,-0.015365
52,1.62667E+18,-0.057605,-0.014903,-0.064271,-0.057605,-0.014903,-0.064271,0.019578,-0.021034,-0.01624
53,1.62667E+18,-0.095019,-0.068233,-0.072358,-0.095019,-0.068233,-0.072358,0.018814,-0.022197,-0.017138
54,1.62667E+18,-0.129206,-0.109472,-0.072122,-0.129206,-0.109472,-0.072122,0.0182,-0.023366,-0.018038
55,1.62667E+18,-0.147468,-0.147543,-0.056869,-0.147468,-0.147543,-0.056869,0.017754,-0.024514,-0.018929
56,1.62667E+18,-0.130898,-0.174098,-0.03777,-0.130898,-0.174098,-0.03777,0.017544,-0.025678,-0.019848
57,1.62667E+18,-0.090109,-0.155702,-0.031256,-0.090109,-0.155702,-0.031256,0.01757,-0.026796,-0.020776
58,1.62667E+18,-0.049946,-0.136613,-0.047568,-0.049946,-0.136613,-0.047568,0.017807,-0.027847,-0.021704
59,1.62667E+18,-0.011349,-0.145206,-0.066284,-0.011349,-0.145206,-0.066284,0.018227,-0.028924,-0.022633
60,1.62667E+18,0.043224,-0.136834,-0.064841,0.043224,-0.136834,-0.064841,0.018812,-0.029975,-0.023543
61,1.62667E+18,0.108267,-0.084469,-0.059688,0.108267,-0.084469,-0.059688,0.019523,-0.030984,-0.024428
62,1.62667E+18,0.137478,-0.057944,-0.0663,0.137478,-0.057944,-0.0663,0.020388,-0.032033,-0.025282
63,1.62667E+18,0.129937,-0.055503,-0.071611,0.129937,-0.055503,-0.071611,0.021429,-0.033081,-0.026082
64,1.62667E+18,0.100461,-0.033228,-0.07283,0.100461,-0.033228,-0.07283,0.022622,-0.034114,-0.026826
65,1.62667E+18,0.065083,-0.029506,-0.075896,0.065083,-0.029506,-0.075896,0.023973,-0.035204,-0.027559
66,1.62667E+18,0.036729,-0.064872,-0.07459,0.036729,-0.064872,-0.07459,0.025539,-0.036306,-0.02826
67,1.62667E+18,0.029108,-0.110272,-0.062822,0.029108,-0.110272,-0.062822,0.027302,-0.037403,-0.028929
68,1.62667E+18,0.052548,-0.129023,-0.038581,0.052548,-0.129023,-0.038581,0.029239,-0.03853,-0.029592
69,1.62667E+18,0.096552,-0.117224,-0.011735,0.096552,-0.117224,-0.011735,0.031373,-0.039629,-0.030232
70,1.62667E+18,0.12741,-0.111006,-0.003883,0.12741,-0.111006,-0.003883,0.033664,-0.040681,-0.030851
71,1.62667E+18,0.141592,-0.12326,-0.0129,0.141592,-0.12326,-0.0129,0.03595,-0.04174,-0.031468
72,1.62667E+18,0.142073,-0.139626,-0.02042,0.142073,-0.139626,-0.02042,0.038162,-0.042747,-0.032067
73,1.62667E+18,0.144509,-0.152934,-0.040719,0.144509,-0.152934,-0.040719,0.040257,-0.043685,-0.032645
74,1.62667E+18,0.156131,-0.13231,-0.073546,0.156131,-0.13231,-0.073546,0.042202,-0.044606,-0.03324
75,1.62667E+18,0.165694,-0.103582,-0.080704,0.165694,-0.103582,-0.080704,0.043863,-0.045462,-0.033835
76,1.62667E+18,0.170502,-0.089364,-0.0557,0.170502,-0.089364,-0.0557,0.045208,-0.046248,-0.034424
77,1.62667E+18,0.158585,-0.055636,-0.039725,0.158585,-0.055636,-0.039725,0.046346,-0.047044,-0.03503
78,1.62667E+18,0.116723,-0.035345,-0.046457,0.116723,-0.035345,-0.046457,0.047146,-0.047818,-0.035637
79,1.62667E+18,0.055286,-0.049995,-0.047664,0.055286,-0.049995,-0.047664,0.04761,-0.048563,-0.036241
80,1.62667E+18,0.000529,-0.065184,-0.041033,0.000529,-0.065184,-0.041033,0.047999,-0.049356,-0.036827
81,1.62667E+18,-0.026659,-0.068014,-0.046354,-0.026659,-0.068014,-0.046354,0.04825,-0.050162,-0.03738
82,1.62667E+18,-0.032015,-0.056974,-0.058114,-0.032015,-0.056974,-0.058114,0.048377,-0.050968,-0.037897
83,1.62667E+18,-0.032772,-0.050743,-0.073653,-0.032772,-0.050743,-0.073653,0.048602,-0.051828,-0.038371
84,1.62667E+18,-0.036526,-0.063315,-0.093258,-0.036526,-0.063315,-0.093258,0.04887,-0.052699,-0.038791
85,1.62667E+18,-0.036864,-0.084763,-0.09701,-0.036864,-0.084763,-0.09701,0.04917,-0.053562,-0.03916
86,1.62667E+18,-0.032101,-0.120117,-0.068452,-0.032101,-0.120117,-0.068452,0.049621,-0.05447,-0.039489
87,1.62667E+18,-0.010039,-0.152608,-0.033422,-0.010039,-0.152608,-0.033422,0.050147,-0.05538,-0.039776
88,1.62667E+18,0.031407,-0.154142,-0.024364,0.031407,-0.154142,-0.024364,0.050712,-0.056273,-0.040027
