time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum,,,time,oldX
1.63E+18,-0.488099,-0.767491,-0.946771,0.050328274,-0.011047664,-0.032191374,,,1.63E+18,0.033664
1.63E+18,-0.588071,-0.948586,-0.991015,0.045447347,-0.018722476,-0.041658963,,,1.63E+18,0.03595
1.63E+18,-0.707173,-1.135686,-0.946998,0.039566562,-0.028208457,-0.05156924,,,1.63E+18,0.038162
1.63E+18,-0.829921,-1.166718,-0.805365,0.032494922,-0.039565172,-0.061039099,,,1.63E+18,0.040257
1.63E+18,-0.914186,-0.992604,-0.630797,0.024195606,-0.051232501,-0.069092852,,,1.63E+18,0.042202
1.63E+18,-0.824197,-0.681219,-0.504348,0.015053863,-0.061158414,-0.075400741,,,1.63E+18,0.043863
1.63E+18,-0.565504,-0.41277,-0.415511,0.006803559,-0.067977492,-0.080449321,,,1.63E+18,0.045208
1.63E+18,-0.262079,-0.163468,-0.343097,0.001154237,-0.072101019,-0.084600229,,,1.63E+18,0.046346
1.63E+18,0.000698,0.106151,-0.263231,-0.001466587,-0.073735719,-0.088031243,,,1.63E+18,0.047146
1.63E+18,0.192719,0.27653,-0.196611,-0.001459607,-0.072674223,-0.09066352,,,1.63E+18,0.04761
1.63E+18,0.348019,0.294594,-0.13446,0.000467608,-0.069908888,-0.092629655,,,1.63E+18,0.047999
1.63E+18,0.396085,0.180659,-0.032062,0.003951228,-0.066960044,-0.09397558,,,1.63E+18,0.04825
1.63E+18,0.403311,0.105959,0.076253,0.007908174,-0.065155235,-0.094295884,,,1.63E+18,0.048377
1.63E+18,0.445862,0.086917,0.171723,0.011941233,-0.064095658,-0.093533364,,,1.63E+18,0.048602
1.63E+18,0.528905,0.175528,0.244817,0.01639991,-0.063226477,-0.091816112,,,1.63E+18,0.04887
1.63E+18,0.609364,0.352399,0.27447,0.021688892,-0.06147122,-0.089367973,,,1.63E+18,0.04917
1.63E+18,0.657919,0.582486,0.256354,0.02778261,-0.057947184,-0.086623238,,,1.63E+18,0.049621
1.63E+18,0.656226,0.780982,0.209823,0.034361716,-0.052122399,-0.084059731,,,1.63E+18,0.050147
