stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
62,1626666222367203000,1.331894,0.051325,0.007609,1.331894,0.051325,0.007609,1.374273,0.003684,0.006764
63,1626666222400529000,1.323593,0.048437,0.006771,1.323593,0.048437,0.006771,1.295804,0.009769,0.012898
64,1626666222433855000,1.310563,0.040257,0.006762,1.310563,0.040257,0.006762,1.199650,0.014905,0.016822
65,1626666222467180000,1.269232,0.031243,0.000701,1.269232,0.031243,0.000701,1.081902,0.019538,0.020033
66,1626666222500506000,1.147151,0.024994,-0.017638,1.147151,0.024994,-0.017638,0.933198,0.021984,0.020040
67,1626666222533832000,0.903122,0.017135,-0.053757,0.903122,0.017135,-0.053757,0.748034,0.020788,0.014463
68,1626666222567157000,0.557920,0.016956,-0.103023,0.557920,0.016956,-0.103023,0.540919,0.016176,0.003842
69,1626666222600483000,0.186485,0.015154,-0.144028,0.186485,0.015154,-0.144028,0.328349,0.008587,-0.011039
70,1626666222633809000,-0.096097,-0.045118,-0.176699,-0.096097,-0.045118,-0.176699,0.129529,-0.000685,-0.028786
71,1626666222667135000,-0.263539,-0.099696,-0.198048,-0.263539,-0.099696,-0.198048,-0.038245,-0.010379,-0.047639
72,1626666222700460000,-0.307826,-0.122739,-0.215015,-0.307826,-0.122739,-0.215015,-0.166392,-0.019750,-0.065784
73,1626666222733786000,-0.259734,-0.106970,-0.229995,-0.259734,-0.106970,-0.229995,-0.257330,-0.028525,-0.082906
74,1626666222767112000,-0.200906,-0.091500,-0.226031,-0.200906,-0.091500,-0.226031,-0.317025,-0.036352,-0.098849
75,1626666222800438000,-0.167790,-0.088328,-0.201603,-0.167790,-0.088328,-0.201603,-0.352514,-0.043231,-0.113358
76,1626666222833764000,-0.155648,-0.079833,-0.166908,-0.155648,-0.079833,-0.166908,-0.370589,-0.049119,-0.126360
77,1626666222867089000,-0.154081,-0.084562,-0.135454,-0.154081,-0.084562,-0.135454,-0.376763,-0.053976,-0.137909
78,1626666222900415000,-0.158232,-0.094772,-0.113735,-0.158232,-0.094772,-0.113735,-0.375001,-0.057943,-0.148035
79,1626666222933741000,-0.153534,-0.105181,-0.102340,-0.153534,-0.105181,-0.102340,-0.367991,-0.061195,-0.156976
80,1626666222967066000,-0.139651,-0.103988,-0.100414,-0.139651,-0.103988,-0.100414,-0.357832,-0.063872,-0.164945
81,1626666223000392000,-0.124708,-0.098919,-0.103557,-0.124708,-0.098919,-0.103557,-0.346370,-0.066153,-0.172094
82,1626666223033718000,-0.116524,-0.092945,-0.107591,-0.116524,-0.092945,-0.107591,-0.334880,-0.068172,-0.178620
83,1626666223067044000,-0.114567,-0.085876,-0.113628,-0.114567,-0.085876,-0.113628,-0.323972,-0.069996,-0.184559
84,1626666223100369000,-0.115063,-0.079797,-0.122166,-0.115063,-0.079797,-0.122166,-0.313625,-0.071637,-0.189932
85,1626666223133695000,-0.117630,-0.078184,-0.129623,-0.117630,-0.078184,-0.129623,-0.303828,-0.073114,-0.194815
86,1626666223167021000,-0.121388,-0.081898,-0.134604,-0.121388,-0.081898,-0.134604,-0.293666,-0.074508,-0.199273
87,1626666223200346000,-0.123546,-0.083288,-0.137519,-0.123546,-0.083288,-0.137519,-0.283748,-0.075780,-0.203271
88,1626666223233672000,-0.121099,-0.084371,-0.139848,-0.121099,-0.084371,-0.139848,-0.274284,-0.076933,-0.206864
89,1626666223266998000,-0.116177,-0.082852,-0.141020,-0.116177,-0.082852,-0.141020,-0.264625,-0.078030,-0.210093
90,1626666223300324000,-0.111947,-0.082043,-0.140569,-0.111947,-0.082043,-0.140569,-0.255235,-0.079033,-0.212938
91,1626666223333650000,-0.107705,-0.083505,-0.139123,-0.107705,-0.083505,-0.139123,-0.246276,-0.079941,-0.215451
92,1626666223366976000,-0.102193,-0.083549,-0.138154,-0.102193,-0.083549,-0.138154,-0.234646,-0.080584,-0.217336
93,1626666223400301000,-0.097340,-0.083785,-0.137621,-0.097340,-0.083785,-0.137621,-0.220471,-0.080914,-0.218599
94,1626666223433627000,-0.094806,-0.086620,-0.137145,-0.094806,-0.086620,-0.137145,-0.204060,-0.080948,-0.219320
95,1626666223466953000,-0.092811,-0.089227,-0.136552,-0.092811,-0.089227,-0.136552,-0.176528,-0.079971,-0.218406
96,1626666223500278000,-0.090132,-0.089971,-0.135536,-0.090132,-0.089971,-0.135536,-0.137111,-0.077885,-0.215875
97,1626666223533604000,-0.080626,-0.091368,-0.134604,-0.080626,-0.091368,-0.134604,-0.086697,-0.074779,-0.211916
98,1626666223566930000,-0.060046,-0.086334,-0.134632,-0.060046,-0.086334,-0.134632,-0.021602,-0.070415,-0.205963
99,1626666223600256000,-0.029019,-0.077806,-0.134226,-0.029019,-0.077806,-0.134226,0.058117,-0.064773,-0.198105
100,1626666223633581000,0.019350,-0.069124,-0.132150,0.019350,-0.069124,-0.132150,0.150916,-0.057993,-0.188586
101,1626666223666907000,0.089058,-0.061384,-0.127913,0.089058,-0.061384,-0.127913,0.256019,-0.050207,-0.177430
102,1626666223700233000,0.191540,-0.049602,-0.119075,0.191540,-0.049602,-0.119075,0.371109,-0.041569,-0.164863
103,1626666223733558000,0.355098,-0.001562,-0.107844,0.355098,-0.001562,-0.107844,0.493719,-0.032275,-0.151167
104,1626666223766884000,0.559081,0.050647,-0.089547,0.559081,0.050647,-0.089547,0.625451,-0.021865,-0.134665
105,1626666223800210000,0.775890,0.036932,-0.061293,0.775890,0.036932,-0.061293,0.760716,-0.010722,-0.115876
106,1626666223833535000,1.017422,0.027927,-0.030488,1.017422,0.027927,-0.030488,0.893751,0.000678,-0.095532
107,1626666223866862000,1.233485,0.010580,0.003801,1.233485,0.010580,0.003801,1.019653,0.011830,-0.075121
108,1626666223900187000,1.349255,0.002908,0.043081,1.349255,0.002908,0.043081,1.131427,0.022217,-0.055359
109,1626666223933513000,1.370799,0.000831,0.070845,1.370799,0.000831,0.070845,1.225320,0.031517,-0.036706
110,1626666223966839000,1.352908,0.001215,0.076641,1.352908,0.001215,0.076641,1.303226,0.040385,-0.019327
111,1626666224000165000,1.329460,0.011710,0.066983,1.329460,0.011710,0.066983,1.365896,0.048472,-0.003331
112,1626666224033490000,1.310733,0.021669,0.052153,1.310733,0.021669,0.052153,1.415076,0.055772,0.011416
113,1626666224066816000,1.300387,0.024981,0.038804,1.300387,0.024981,0.038804,1.452441,0.062913,0.025016
114,1626666224100142000,1.299431,0.027604,0.031574,1.299431,0.027604,0.031574,1.480326,0.069511,0.037387
115,1626666224133467000,1.302321,0.027140,0.031628,1.302321,0.027140,0.031628,1.500485,0.075528,0.048658
116,1626666224166793000,1.308589,0.024431,0.036795,1.308589,0.024431,0.036795,1.513764,0.081261,0.059003
117,1626666224200119000,1.315250,0.025375,0.041990,1.315250,0.025375,0.041990,1.522122,0.086451,0.068426
118,1626666224233445000,1.316182,0.028036,0.044896,1.316182,0.028036,0.044896,1.526829,0.091093,0.077034
